Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Event Type,Demand Loss (MW),Number of Customers Affected,year,Month,Alert Criteria,Event Month
12/08/2016,01:00:00,12/08/2016,02:30:00,Oregon: Multnomah County;,WECC,Vandalism,0,0,2016,December,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,
12/11/2016,07:45:00,12/11/2016,07:46:00,Utah: Utah County;,WECC,Vandalism,0,0,2016,December,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,
12/13/2016,14:09:00,12/13/2016,14:30:00,California: Riverside County;,WECC,Cyber Event,0,0,2016,December,Cyber event that could potentially impact electric power system adequacy or reliability,
12/15/2016,06:30:00,Unknown,Unknown,California: Merced County;,WECC,Fuel Supply Deficiency,Unknown,Unknown,2016,December,Fuel supply emergencies that could impact electric power system adequacy or reliability,
12/16/2016,07:45:00,12/16/2016,08:45:00,Oregon: Multnomah County;,WECC,Vandalism,0,0,2016,December,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,
12/26/2016,04:00:00,12/26/2016,06:00:00,Washington:,WECC,Vandalism,0,0,2016,December,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,
12/28/2016,04:03:00,12/31/2016,06:00:00,California:,WECC,Fuel Supply Deficiency,0,0,2016,December,Fuel supply emergencies that could impact electric power system adequacy or reliability,
12/30/2016,08:55:00,12/30/2016,08:56:00,Vermont: Chittenden County;,NPCC,Other,0,0,2016,December,Cyber event that could potentially impact electric power system adequacy or reliability,
12/30/2016,02:30:00,12/30/2016,19:00:00,Maine:,NPCC,Weather or Natural Disaster,Unknown,85263,2016,December,"Loss of electric service to more than 50,000 customers for 1 hour or more",
01/05/2017,16:56:00,01/05/2017,16:57:00,Florida: Martin County;,FRCC,Suspected Physical Attack,0,0,2017,January ,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,
01/08/2017,09:07:00,01/13/2017,14:30:00,California,WECC,Severe Weather,Unknown,106000,2017,January ,"Loss of electric service to more than 50,000 customers for 1 hour or more",
01/08/2017,23:59:00,Unknown,Unknown,California,WECC,Fuel Supply Deficiency,0,0,2017,January ,Fuel supply emergencies that could impact electric power system adequacy or reliability,
01/10/2017,19:30:00,01/13/2017,14:30:00,California,WECC,Severe Weather,Unknown,87000,2017,January ,"Loss of electric service to more than 50,000 customers for 1 hour or more",
